marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date		helpful-helpless	vote%	bscore	tscore	lenth	total review				star_rating	total review																				
US	34209053	R353KZC7PX7IAO	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	4	26	30	N	Y	"Nice, compact, easy to use"	"Whirlpool's description of this microwave is spot on.<br /><br />The only thing that would be nice would be a numeric keypad, but there really isn't space given the compact design.<br /><br />We have oversized dinner plates, and they fit in here with very little to spare, which means this microwave is perfect for us."	4/30/2012	20120430	22	1.027027027	1.630208333	2.583333333	2	4.718975225		20120430	2	4	4.718975225																				
US	16542844	RIPOD1BBKOD2V	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	9	11	N	Y	Absolutely Love It!	"Two days in and I couldn't be happier with this purchase. Small foot print, excellent build quality and yet holds a full size plate. It's also the quietest microwave I have ever owned. You can barely hear it. The LCD is super bright and the controls are so easy to use. I love how the entire front sure is flat - makes for really easy clean up. I would so buy this again and again."	5/18/2012	20120518	7	1.008599509	1.689102564	3.125	1	2.717399831		20120518	3	5	2.717399831																				
US	24121117	R3RRRSYRHZXPRY	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	6	8	N	Y	RG	"Absolutely love it! Takes up very little counter space - large inside, great height, would highly recommend. Purchesed for a cleaner counter look and that is exactly what i have. Many compliments from guests; everyone wants to know where they can order one."	6/18/2012	20120618	4	1.004914005	1.565959821	0	1.5	0.70814473		20120618	4	5	0.70814473																				
US	51935103	R76STN0LUDKMH	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	2	2	N	Y	Sharp Convection Microwave	My wife wanted this item after conducting a great deal of internet research on it. I had been used to using a 10 year old microwave and did not think I would be that impressed with this new model. I was wrong. This is one of the best appliances that I've ever purchased.	6/22/2012	20120622	2	1.002457002	2.113636364	-0.625	2	0.394147867		20120622	5	5	0.394147867	4.5	1.955545677																		
US	21180921	RBX4XMBSY964S	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	5	9	9	N	Y	smallspace	"I love this microwave.  It is the perfect size for a small space, it looks nice, and it cooks well for a 750 watt.  The first one I received would not latch and Whirlpool took care of sending me a new one and picking up the old one, even though I did not purchase it directly from them."	7/21/2012	20120721	9	1.011056511	1.522727273	0	2	0.923737994		20120721	1	5	0.923737994																				
US	44198547	R2GQ6O8D8LNRYT	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	2	2	N	Y	Just right!	"I love this little microwave oven.  I just reheat food and cook some frozen dinners, so I wanted something that wasn't a counter space hog, was easy to open and easy to clean, and didn't have a lot of fancy options that I never use.  Previous reviewers have noted that the beep is loud when adding time, and that the seconds have to be added in 5 second increments (so there's a lot of pushing the + button), so I guess there's still room for improvement, but it does exactly what I want it to.  What I particularly like is the solid face without buttons sticking out of it.  Very easy to wipe clean, no worries about liquid getting into the circuitry."	7/30/2012	20120730	2	1.002457002	1.00922619	1.785714286	2	3.113166022		20120730	2	5	3.113166022																				
US	52905712	R3GZNUI4TG3JA6	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	5	3	5	N	Y	Great  Little  Microwave	"I ordered this microwave to replace an over the over microwave we had that stopped working. We wanted something small since we realized we don't use on much anymore except for frozen vegetables and reheating coffee. We needed a small microwave that would fit in a small area. This was the only corner model microwave I could find anywhere online. It is very cute and looks like an old-school television set. The controls are very simple, there is no number pad, you use the + and - minus signs to adjust cook time. This microwave also has a built in timer  which was also very nice. At only 750 watts, it seems to cook at the same rate as out old 1100 watt microwave.<br />Although the price was  higher that a comprable-sized microwave, the size and shape make it worth the extra money."	8/6/2012	20120806	1	1.001228501	0.571875	1.53125	2	2.489930128		20120806	3	5	2.489930128																				
US	43111495	R23BXXZ8AUWJFZ	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	4	4	N	Y	Perfect for NYC apartments	"Everyone who visits my apartment always comments on how cool my microwave looks.  This powerful machine is perfect for the typical Manhattan kitchen.  If you are looking for a stylish, functional and space saving microwave - then buy this one!"	8/8/2012	20120808	4	1.004914005	2.108333333	5	1.5	6.229210688		20120808	4	5	6.229210688																				
US	10061526	R16B9696VPW8FU	B00009V3X6	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	5	2	2	N	Y	Thanks Sharp Thanks Amazon	"We bought this microwave for our kitchen remodel partly because we also have this same unit in our motorhome.<br />The combination of an outside hood vent, range light, convection oven, and microwave made it a bargain as well.<br />The shipping was perfect. It was packed in 2 boxes, first the manufacture's styro lined box, then that box was bubble wrapped and boxed in a separate larger box.<br />The stainless steel matches our other appliances and looks great!<br />Thanks Sharp, Thanks Amazon"	8/21/2012	20120821	2	1.002457002	0.9	0.458333333	2	1.184570024		20120821	5	5	1.184570024																				
US	47728663	R3ALZ0B0M9AOK5	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	5	11	13	N	Y	"works great, looks cool"	"I have a super small kitchen and this microwave fits perfectly inside. It works great and looks pretty cool.  I was hesitant about it fitting a large dinner plate but it does!!! So, it works for all my needs. Maybe the only downside is that you can basically only set it in 30 second intervals but that is normally the type of microwave cooking I do anyway so it's fine for me."	8/25/2012	20120825	9	1.011056511	1.526356456	2.875	1	2.497721018		20120825	6	5	2.497721018																				
US	13823321	R1CEPCU6RUY59T	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	3	4	N	Y	Small but Mightly	"I purchased this to replace a much larger microwave taking a lot of counter space.  Since we only use a microwave to reheat food and pop popcorn, this microwave is perfect.  I held off using it for several weeks because the inside wall of the microwave had a rectangle piece of cardboard screwed into the side with a metal and some plastic screws.  I removed the screws and cardboard but there were no instructions to tell me to remove it.  Once removed, there was a rectangle hole on the inside wall that was next to the turntable plate.  My old microwave didn't have an open space.  My concern was that if I heat soup, it could run over the bowl and spill inside this open space.  It still doesn't make sense to me because the cardboard couldn't have been meant to be left in since it can't be wiped down when cleaning the inside of the microwave.  Oh well, this mini micro works great and heats everything we need to the correct temp using the approximate times I used on my old microwave.  Yes, I'd purchase this again but I'll also be purchasing a rubber mat to place under it because it slides around when opening or closing the door."	9/14/2012	20120914	2	1.002457002	0.555555556	-1.25	2	-1.42014742		20120914	7	5	-1.42014742																				
US	15135485	RSLACSS98V7UK	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	3	3	N	Y	Perfect for a small space!	"My old microwave (dating back to the mid-90s) finally bit the dust.  I was worried that I wouldn't find another compact microwave to replace it, but this one fits the bill.  It is small, but big enough for the needs of our 3-person household.  I find height to be more limiting that width in microwaves, and this one offers about the same height as a regular one.  It's not as powerful as some of the full-sized microwaves, but an extra minute of waiting is worth it for the small footprint.  It's attractive although the buttons are not terribly intuitive.  The rounded back works well for our needs, as it nestles into the corner even better than our previous unit.  After a few months of use, I'm quite pleased with this purchase."	9/19/2012	20120919	3	1.003685504	0.650793651	1.71875	2	2.807033536		20120919	8	5	2.807033536																				
US	12457242	R32CHJUYLUZZKV	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	3	14	19	N	Y	Worried how long it will hold up.	"I needed a small microwave for my small kitchen and this one fits the bill. (Why aren't there more small appliances out there? Oh right, we live in the U.S., where bigger is supposedly better).<br /><br />Anyway, this microwave has performed fine so far (powerful enough for reheating leftovers in a timely manner). It doesn't heat very evenly, but in my experience, most microwaves don't. If it's soup, no problem, just stir. If it's a frozen burrito, the ends will be bubbling while the middle is still frozen. Annoying.<br /><br />However, the biggest complaint after having this microwave for just one month is that there is a thin layer of plastic over the control buttons and it is already scratched and peeling off in some places! Makes me concerned about the overall quality of this thing."	9/21/2012	20120921	9	1.011056511	0.261395467	-0.25	1.5	-0.146473819		20120921	9	3	-0.146473819	4.777777778	1.964305352																		
US	37165444	R2U8N81M80OPIB	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	15	16	N	Y	750 watts and beautiful!	"This Whirlpool WMC2005YW 0.5 cubic feet countertop microwave oven is the best microwave we have ever had. We sold our house, where we had a built-in micro, and moved into a condo 4 years ago and bought a small Haier. The only thing good about the Haier was,  it was small, so when it blew out we had to go small again. I totally counted on the reviews for this micro and, thank you everybody, you are so right! I got the white one because my counters are white and it is so cute, just nestled into that small space. The best part is that it really works well. We feared making popcorn, which the Haier never, and I mean never, did well. Always burnt no matter what we tried. This Whirlpool made perfect popcorn at 2 1/2 minutes. We snack on it every night and the bag fits in perfectly with room to spare. It will fit a dinner plate easily and heats evenly. There is a 30 second button, start, stop, and a clock that also doubles as a timer. We have never used the auto buttons. I would buy this again in a minute."	10/8/2012	20121008	14	1.017199017	1.319494048	5	1.5	5.944279461		20121008	1	5	5.944279461																				
US	21571642	R283HO77DKT9F1	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	5	2	2	N	Y	fits well in small spaces	fits well on countertop in small space. Works very well warming and re-heating. Works better that other microwave that was much bigger.	10/8/2012	20121008	2	1.002457002	0.325	-1.25	2	-1.558820638		20121008	2	5	-1.558820638																				
US	99058	R11GVNJD2MS4FF	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	1	8	27	N	Y	Mr. Johnny Warren	This product sucks ass when I received it doesn't work and have tryed and tryed to exchange it but whirlpool does not and will not stand behind there products	11/17/2012	20121117	-11	0.986486486	-1.75	0	1.5	-0.776858108		20121117	3	1	-0.776858108																				
US	36505671	R2A8J0U92HX2QH	B004NXUJ60	523301568	microwave cavity paint 98qbp0302	Major Appliances	5	2	2	N	Y	Great Item	"Item was what was advertised, in condition advertised and delivered on time. That's all you can ask of a supplier. You must prepare the area where you are going to use the paint. Takes a lot of sanding and preparing, but the result of spraying even coats is great."	12/10/2012	20121210	2	1.002457002	4	4	2	8.019656016		20121210	4	5	8.019656016																				
US	51821805	R1BVH9DPTM166R	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	1	1	N	Y	Nice!	"This is a really nice little microwave!  Just what I was looking for.  No complaints.  It was shipped quickly by the supplier, too.  The controls are simple and elegant, and the surfaces are easy to clean.  I would buy it again."	12/10/2012	20121210	1	1.001228501	1.427827381	3.75	1	3.057099256		20121210	5	5	3.057099256																				
US	40437521	RDFEL2E2ULFCQ	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	5	3	3	N	Y	Very nice design	I bought this microwave almost a year ago. Love it. Quality is good enough ( I do not use it too often). I really in love with the design.	12/10/2012	20121210	3	1.003685504	2.125	3.9	1.5	5.069866402		20121210	6	5	5.069866402																				
US	52693309	R3LQMIISQUAJ68	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	5	26	31	N	Y	Tiny treasure	"I live in a small house (400 sf) so I don't have much room for anything. This may be too soon for a review (as I just received the microwave y'day) but so far it's just perfect. I love that the controls are on the bottom instead of on the side, as my microwave cubby is only 16.5 inches wide. I like the style and the easy setup, as well. It's perfect for an apartment, dorm room, or office kitchen.<br /><br />One thing to note - on the inside left wall (if you're facing the microwave), there's what looks like a cardboard panel screwed into the wall by the vent. There isn't anything definitive about what to do about this panel, and since it looks like it could possibly be removed, I called Whirlpool customer service to get some clarification. Long story short - don't remove the panel, it's supposed to be there.<br /><br />Other than that momentary confusion, I'm really happy with this product."	12/21/2012	20121221	21	1.025798526	1.256565657	0	2	0.773389919		20121221	7	5	0.773389919																				
US	40629075	R3OIGVEO49MK81	B004NXUJ60	523301568	microwave cavity paint 98qbp0302	Major Appliances	5	5	6	N	Y	Did the job	The microwave in our new house had corrosion and under the turntable. I sanded and cleaned for about an hour then sprayed this paint. I did have a little overspray but it turned out pretty well. There's a spot that looks like I didn't sand and clean well enough but there is plenty of paint left in the can to re-do it. It's good enough for now and the paint is holding up well after a month.	12/24/2012	20121224	4	1.004914005	0.790956439	0	1.5	0.357679441		20121224	8	5	0.357679441																				
US	15556793	R3LOP36H9WFPJO	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	5	1	2	N	Y	Perfect size for table top microwave	"Simple to use, spacious, and compact. :)  Been looking for a microwave like this for a while.  The only drawback is it looks a bit like a old TV on the kitchen counter."	12/26/2012	20121226	0	1	0.75	3.75	2	5.7		20121226	9	5	5.7																				
US	51994627	R35CPZSQEQ1QJW	B00009V3WT	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	4	6	6	N	Y	The best available	"When our old Sharp &#34;over the range&#34; started to die (14 years of service and the display had become very dim and door starting to crack with quite large chips falling off we decided it had to be replaced). Finding an over range (gas) with convection and a good extractor fan proved difficult and so we decided on this Sharp product. At 71 lbs and with different mounting points from it's predecessor it was a difficult installation task - could not have been done by one person on their own.<br />Once in place however it is the greatest ! It is better designed than the one before with 2 extractor inlets placed to handle the heat from the gas range very well , a large ceramic turntable that is easy to clean PLUS it can be selected to &#34;not rotate&#34; which permits bigger dishes to be used as needed.<br /><br />Best of all it has a &#34;keep warm&#34; feature that allows warming serving plates as well as keeping unserved food ready  for &#34;seconds&#34; without the whole reheat cycle.<br /><br />Great product - would have given 5 stars but for the physical difficulty of installation ( in fairness that would have probably been much the same for any brand)"	12/30/2012	20121230	6	1.007371007	0.729220779	3.5	2	5.376875457		20121230	10	4	5.376875457	4.5	3.196316721																		
US	11919183	R1BAMRB7EEGCM6	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	1	9	12	N	Y	Whirlpool	Wouldn't work.  Have to return it.  The word 'door' keeps showing up as if there is a problem with the door.<br />There is no problem.	1/1/2013	20130101	6	1.007371007	0	0	1	0		20130101	1	1	0																				
US	35112970	R3LARHXW38MIJN	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	1	1	N	Y	Exactly what I needed	This microwave works well. I wanted a microwave to heat my rice filled heating pad for my shoulders. It does that and doesn't take up too much space on the counter. I am very pleased.	1/6/2013	20130106	1	1.001228501	2.083333333	1.25	2	3.003685503		20130106	2	5	3.003685503																				
US	38534065	R1BCIXJI33ZW0D	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	5	4	4	N	Y	Tiny Perfection	"Fits a cup of coffee, dinner plate and popcorn. What else do you need? Fits perfect in my cabinet out of site!"	1/7/2013	20130107	4	1.004914005	5	0	1.5	2.261056511		20130107	3	5	2.261056511																				
US	49111600	RF64XU0Q9SSI7	B005GSZB7I	827502283	"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd"	Major Appliances	4	3	4	N	Y	Better than I expected	"If you're looking for a space saver, this is the microwave for you.  If fits so well in the corner of the counter top and I have twice the space I had when my old bulky clunker was still on the counter.  I haven't found a plate yet that doesn't fit in the microwave and only one conatiner was too tall to fit, but even that wasn't critical...just used another container.  The power is suffiecient for warming and cooking most foods.  I do wish it had a few more watts; around 1000 would be perfect.  Over all the compromise in power is well worth the additional space.  Controls are very simple although, I do wish I could increase the time in more than 30 second increments.<br /><br />Service was terrific!  The first unit arrived damaged by the shipper.  Replacement was fast and problem free."	1/14/2013	20130114	2	1.002457002	1.426470588	1	1	1.13071253		20130114	4	4	1.13071253																				
US	16657665	RJ9J1SSBL4TX	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	5	0	0	N	Y	Great Microwave.	"A very compact, beautiful and sleek microwave.  Saves a on counter space and will accommodate a full size dinner plate."	1/15/2013	20130115	0	1	2.333333333	4	1	3.5		20130115	5	5	3.5																				
US	14464149	R3B796T7QR95MG	B004NXUJ60	523301568	microwave cavity paint 98qbp0302	Major Appliances	4	6	7	N	Y	works great	"VERY smelly!!!<br />Be sure to scrape all rust out with steel wool, paint scraper, whatever it takes. The directions were minimal...I googled for more information."	1/22/2013	20130122	5	1.006142506	2	4	2	6.841769041		20130122	6	4	6.841769041																				
US	14518404	R3MIOPG9F4SJTZ	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	3	1	2	N	Y	It's okay...	I have very limited space so the design to fit in corner is great. I only use for re-heating or defrosting so it is fine for that. Some of my dinner plates are too large to fit in it...so I use smaller plates for re-heating. I don't like the lack of number pad but I knew it didn't have one when I bought it. It DOES have it's own popcorn button...:)	2/8/2013	20130208	0	1	1.619047619	2.5	2	4.471428571		20130208	7	3	4.471428571																				
US	34687696	RPVDK2KFZW6J8	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	4	1	1	N	Y	Perfect for a craft room	"I expected this microwave oven to be smaller than it is. I was hoping for a small microwave to go in the craft room for my wife because she spends a lot of time in there and her coffee often goes cold, and instead of having to get up and leave her work, she can reach over and reheat her coffee. I didn't want something that takes up a lot of space. Well, this is about as small as I've seen, but I thought there were smaller ones. We don't have a lot of extra space so we bought this one. It works fine, I personally don't like the bright blue LED clock on the front but my wife doesn't mind. It does what it's supposed to."	2/9/2013	20130209	1	1.001228501	-0.037878788	5	2	6.985844314		20130209	8	4	6.985844314																				
US	43144979	R1IL3610LIPDOF	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	4	0	0	N	Y	I like it	"I like the look, the ease of cleaning, and the fact that it does everything I need a microwave to do without taking up much countertop space.  The only drawback is that the interior is so small I sometimes &#34;bump&#34; coffee cups trying to put them in for re-heating, spilling liquid that drips straight down to the control panel.  After having a full size microwave, this one takes some getting adjusting on my part!  I gave it 4 stars because I can't heat pancake syrup in it, the bottles are too tall.  All other things I use it for, such as making popcorn, melting butter, reheating left-overs, etc., are just fine."	2/21/2013	20130221	0	1	0.402006173	0	1	0.120601852		20130221	9	4	0.120601852																				
US	52767411	R33CN1MMFTSEEQ	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	2	4	4	N	Y	Only o.k.	"We needed a small microwave for a small space, and this fits perfectly ... but:  very low power (takes a long time); not tall enough for many things (have to transfer contents to shorter vessels); extremely loud beeping that can't be turned off."	3/7/2013	20130307	4	1.004914005	0.65625	0	1.5	0.296763667		20130307	10	2	0.296763667																				
US	52748344	R2NJX8IB06HT8S	B00009V3X6	459626087	sharp 1.1-cubic-foot 850-watt over-the-range convection microwaves	Major Appliances	3	3	3	N	Y	Updated Sharp over the range microwave	"Fits perfectly in previous Sharp model space.  Heating seems the same as the previous model although this one states 850 watts and the old one said 1100 watts.  Exhaust does not work as well as the other model.  Fan seems to work same on low and high speed, no difference in sound or intensity of fan sound.  One would think the low would seem quieter."	3/11/2013	20130311	3	1.003685504	0.198611111	-0.625	1	-0.37930948		20130311	11	3	-0.37930948	3.636363636	2.566595683																		
US	35388084	R9L2L50HQOYX	B005GSZB9Q	771401205	"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white"	Major Appliances	5	2	2	N	Y	Amazing!	We love this microwave. It looks great and has given us a lot more space in the corner where nothing but the old clunky microwave was. Our kitchen looks so much more modern and the microwave itself fits everything (including our largest dinner plates). Heating will require an additional 20-30 seconds but definitely worth the wait!!! Can't say enough about how cool it looks!	4/7/2013	20130407	2	1.002457002	2.013020833	3.75	2	6.473679358		20130407	1	5	6.473679358																				
US	45727129	RT0X30TTOWOKR	B005GSZB3M	109226352	whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave	Major Appliances	5	1	1	N	Y	Well built product	"I purchased this microwave and and a more expensive model ($200+) from Williams-Sonomo and this Whirlpool is a much better machine. The build quality is excellent and the veritcal-ness of it saves space on the counter. Had to return the Williams-Sonoma model.  The Whirlpool is perfect for heating plates of food and leftovers in medium size bowls.<br />At first, I missed the numeric key pad on my old over the stove model but the small size of this models doesn't allow for the large pad. However,, after a short time you get used to pressing the start button to add time in increments of 30 seconds. Super product that I would buy again and it looks cool."	4/8/2013	20130408	1	1.001228501	1.345238095	0	2	0.808134433		20130408	2	5	0.808134433																				
